web-scraper-order,web-scraper-start-url,sport,sport-href,competition
"1680539793-1","https://www.horacemann.org/athletics/teams-programs","Volleyball - Boys MD","https://www.horacemann.org/athletics/teams-programs/spring-team-directory/~athletics-team-id/125","Apr 13 2023
							 3:45 PM
				

				
	


				
					vs. 
					
						School at Columbia University, The
					
				

				
					Subscribe to Alerts


				
					Richard A. Friedman '75 Gymnasium
				










				
						CHANGED: This match has been added to the schedule."
"1680539793-2","https://www.horacemann.org/athletics/teams-programs","Volleyball - Boys MD","https://www.horacemann.org/athletics/teams-programs/spring-team-directory/~athletics-team-id/125","Apr 25 2023
							 4:15 PM
				

				
	


				
					vs. 
					
						UNIS
					
				

				
					Subscribe to Alerts


				
					UNIS"
"1680539793-3","https://www.horacemann.org/athletics/teams-programs","Volleyball - Boys MD","https://www.horacemann.org/athletics/teams-programs/spring-team-directory/~athletics-team-id/125","Apr 27 2023
							 4:00 PM
				

				
	


				
					vs. 
					
						Calhoun
					
				

				
					Subscribe to Alerts


				
					Calhoun"
"1680539793-4","https://www.horacemann.org/athletics/teams-programs","Volleyball - Boys MD","https://www.horacemann.org/athletics/teams-programs/spring-team-directory/~athletics-team-id/125","May 4 2023
							 4:15 PM
				

				
	


				
					vs. 
					
						Calhoun
					
				

				
					Subscribe to Alerts


				
					Richard A. Friedman '75 Gymnasium"
"1680539793-5","https://www.horacemann.org/athletics/teams-programs","Volleyball - Boys MD","https://www.horacemann.org/athletics/teams-programs/spring-team-directory/~athletics-team-id/125","May 9 2023
							 3:45 PM
				

				
	


				
					vs. 
					
						School at Columbia University, The
					
				

				
					Subscribe to Alerts


				
					
				










				
						CHANGED: This match has been added to the schedule."
"1680539793-6","https://www.horacemann.org/athletics/teams-programs","Volleyball - Boys MD","https://www.horacemann.org/athletics/teams-programs/spring-team-directory/~athletics-team-id/125","May 11 2023
							 4:15 PM
				

				
	


				
					vs. 
					
						UNIS
					
				

				
					Subscribe to Alerts


				
					Richard A. Friedman '75 Gymnasium"
"1680539797-7","https://www.horacemann.org/athletics/teams-programs","Volleyball - Boys Varsity","https://www.horacemann.org/athletics/teams-programs/spring-team-directory/~athletics-team-id/104","Mar 16 2023
							 4:00 PM
				

				
	


				
					vs. 
					
						Math, Science & Engineering HS
					
				



				
					Richard A. Friedman '75 Gymnasium"
"1680539797-8","https://www.horacemann.org/athletics/teams-programs","Volleyball - Boys Varsity","https://www.horacemann.org/athletics/teams-programs/spring-team-directory/~athletics-team-id/104","Apr 12 2023
							 4:15 PM
				

				
	


				
					vs. 
					
						Trevor Day
					
				

				
					Subscribe to Alerts


				
					Richard A. Friedman '75 Gymnasium"
"1680539797-9","https://www.horacemann.org/athletics/teams-programs","Volleyball - Boys Varsity","https://www.horacemann.org/athletics/teams-programs/spring-team-directory/~athletics-team-id/104","Apr 14 2023
							 4:15 PM
				

				
	


				
					vs. 
					
						Riverdale
					
				

				
					Subscribe to Alerts


				
					Richard A. Friedman '75 Gymnasium"
"1680539797-10","https://www.horacemann.org/athletics/teams-programs","Volleyball - Boys Varsity","https://www.horacemann.org/athletics/teams-programs/spring-team-directory/~athletics-team-id/104","Apr 17 2023
							 4:00 PM
				

				
	


				
					vs. 
					
						UNIS
					
				

				
					Subscribe to Alerts


				
					UNIS"
"1680539797-11","https://www.horacemann.org/athletics/teams-programs","Volleyball - Boys Varsity","https://www.horacemann.org/athletics/teams-programs/spring-team-directory/~athletics-team-id/104","Apr 19 2023
							 4:15 PM
				

				
	


				
					vs. 
					
						Calhoun
					
				

				
					Subscribe to Alerts


				
					Richard A. Friedman '75 Gymnasium"
"1680539797-12","https://www.horacemann.org/athletics/teams-programs","Volleyball - Boys Varsity","https://www.horacemann.org/athletics/teams-programs/spring-team-directory/~athletics-team-id/104","Apr 24 2023
							 4:15 PM
				

				
	


				
					vs. 
					
						Masters
					
				

				
					Subscribe to Alerts


				
					Masters School"
"1680539797-13","https://www.horacemann.org/athletics/teams-programs","Volleyball - Boys Varsity","https://www.horacemann.org/athletics/teams-programs/spring-team-directory/~athletics-team-id/104","Apr 26 2023
							 4:15 PM
				

				
	


				
					vs. 
					
						Trevor Day
					
				

				
					Subscribe to Alerts


				
					Trevor Day"
"1680539797-14","https://www.horacemann.org/athletics/teams-programs","Volleyball - Boys Varsity","https://www.horacemann.org/athletics/teams-programs/spring-team-directory/~athletics-team-id/104","Apr 28 2023
							 4:15 PM
				

				
	


				
					vs. 
					
						Lycee Francais De New York
					
				

				
					Subscribe to Alerts


				
					Lycee Francais de New York"
"1680539797-15","https://www.horacemann.org/athletics/teams-programs","Volleyball - Boys Varsity","https://www.horacemann.org/athletics/teams-programs/spring-team-directory/~athletics-team-id/104","May 1 2023
							 4:30 PM
				

				
	


				
					vs. 
					
						Masters
					
				

				
					Subscribe to Alerts


				
					Richard A. Friedman '75 Gymnasium"
"1680539797-16","https://www.horacemann.org/athletics/teams-programs","Volleyball - Boys Varsity","https://www.horacemann.org/athletics/teams-programs/spring-team-directory/~athletics-team-id/104","May 3 2023
							 4:15 PM
				

				
	


				
					vs. 
					
						UNIS
					
				

				
					Subscribe to Alerts


				
					Richard A. Friedman '75 Gymnasium"
